#TYPE WinGetPackage
"Name","Id","Version","Available","Source","Match"
"Compass                                    ","Zype.Compass                       ","1.1.0              Moniker: ","","winget",
"Pomodoro Logger                            ","zxch3n.PomodoroLogger              ","0.6.3              Moniker: ","","winget",
"BrowserSelect -- select browser dynamically","zumoshi.BrowserSelect              ","1.4.1              Moniker: ","","winget",
"Zoom Rooms                                 ","Zoom.ZoomRooms                     ","5.14.1             Moniker: ","","winget",
"Zoom Outlook Plugin                        ","Zoom.ZoomOutlookPlugin             ","5.14.10.876        Moniker: ","","winget",
"Zoom                                       ","Zoom.Zoom                          ","5.15.3.18551       Moniker: ","","winget",
"MrCode                                     ","zokugun.MrCode                     ","1.77.0.23092       Moniker: ","","winget",
"Zoho Mail - Desktop                        ","Zoho.ZohoMail.Desktop              ","1.4.1              Moniker: ","","winget",
"Zim Desktop Wiki                           ","Zimwiki.Zim                        ","0.74.3             Moniker: ","","winget",
"GitNote                                    ","zhaopengme.gitnote                 ","3.1.0              Moniker: ","","winget",
"Zettlr                                     ","Zettlr.Zettlr                      ","2.3.0              Moniker: ","","winget",
"Zello                                      ","ZelloInc.Zello                     ","2.6.0.0            Moniker: ","","winget",
"Suside                                     ","zeankundev.suside                  ","2.3.3              Moniker: ","","winget",
"Breitbandmessung                           ","zafaco.Breitbandmessung            ","3.3.0              Moniker: ","","winget",
"YubiKey Personalization Tool               ","Yubico.YubiKeyPersonalizationTool  ","3.1.25             Moniker: ","","winget",
"uTools                                     ","Yuanli.uTools                      ","3.3.0              Moniker: ","","winget",
"yt-dlp                                     ","yt-dlp.yt-dlp                      ","2023.07.06         Moniker: ","","winget",
"yt-dlg                                     ","yt-dlg.yt-dlg                      ","1.8.5              Moniker: ","","winget",
"YXFile                                     ","YouXiao.YXFile                     ","2.3.3.17           Moniker: ","","winget",
"????????????                               ","    YouXiao.YXCalendar             ","    2.3.7.19           Monik","","r:  winget",
"youtube-dl                                 ","youtube-dl.youtube-dl              ","2021.12.17         Moniker: ","","winget",
"ToDesk                                     ","Youqu.ToDesk                       ","4.7.0.2            Moniker: ","","winget",
"??????                                     ","  Youku.Youku                      ","  9.2.20.1001        Moniker","","  winget",
"YoMail                                     ","yomail.yomail                      ","8.8.0.2            Moniker: ","","winget",
"WebKitty                                   ","YikuanSun.WebKitty                 ","2.4.0              Moniker: ","","winget",
"Official Krunker.io Client                 ","YendisEntertainment.KrunkerClient  ","3.0.8              Moniker: ","","winget",
"SimpleCom                                  ","YaSuenag.SimpleCom                 ","1.2.0              Moniker: ","","winget",
"Yarn                                       ","Yarn.Yarn                          ","1.22.19            Moniker: ","","winget",
"Fluent Reader                              ","yang991178.fluent-reader           ","1.1.3              Moniker: ","","winget",
"PupaFM                                     ","xwartz.PupaFM                      ","1.2.2              Moniker: ","","winget",
"eSearch                                    ","xushengfeng.eSearch                ","1.9.8              Moniker: ","","winget",
"Xming                                      ","Xming.Xming                        ","6.9.0.31           Moniker: ","","winget",
"XMind 8                                    ","Xmind.Xmind.8                      ","3.7.9.201912052356 Moniker: ","","winget",
"Mogan                                      ","XmacsLabs.Mogan                    ","1.1.3              Moniker: ","","winget",
"??????                                     ","  xinpianchang.StudioTrans         ","  1.2.4              Moniker","","  winget",
"????????????????????????                   ","        Ximalaya.XimalayaLive      ","        4.20.583           M","","niker:  winget",
